date,open,high,low,close,volume,average,barCount
2025-02-07,1.43085,1.43452,1.427325,1.429465,-1.0,-1.0,-1
2025-02-10,1.43645,1.437975,1.43054,1.431825,-1.0,-1.0,-1
2025-02-11,1.432,1.434575,1.42793,1.42877,-1.0,-1.0,-1
2025-02-12,1.4288,1.43425,1.42557,1.43061,-1.0,-1.0,-1
2025-02-13,1.430545,1.430585,1.418335,1.419275,-1.0,-1.0,-1
2025-02-14,1.419425,1.42012,1.415095,1.418325,-1.0,-1.0,-1
2025-02-17,1.4181,1.419455,1.415985,1.41839,-1.0,-1.0,-1
2025-02-18,1.418205,1.421295,1.417965,1.41988,-1.0,-1.0,-1
2025-02-19,1.419075,1.424565,1.417555,1.423855,-1.0,-1.0,-1
2025-02-20,1.423575,1.4245,1.416645,1.4174,-1.0,-1.0,-1
2025-02-21,1.41774,1.423665,1.41684,1.423035,-1.0,-1.0,-1
2025-02-24,1.422625,1.4268,1.418215,1.426015,-1.0,-1.0,-1
2025-02-25,1.4255,1.431785,1.423995,1.43138,-1.0,-1.0,-1
2025-02-26,1.431275,1.43685,1.42943,1.433725,-1.0,-1.0,-1
2025-02-27,1.434575,1.44493,1.432235,1.44387,-1.0,-1.0,-1
2025-02-28,1.44385,1.44723,1.43998,1.44555,-1.0,-1.0,-1
2025-03-03,1.444875,1.45418,1.436915,1.448195,-1.0,-1.0,-1
2025-03-04,1.4482,1.4543,1.437075,1.43947,-1.0,-1.0,-1
2025-03-05,1.439725,1.445,1.43306,1.433805,-1.0,-1.0,-1
2025-03-06,1.43375,1.43768,1.42399,1.42983,-1.0,-1.0,-1
2025-03-07,1.42978,1.44265,1.42796,1.43828,-1.0,-1.0,-1
2025-03-10,1.437125,1.44727,1.435315,1.444395,-1.0,-1.0,-1
2025-03-11,1.44378,1.452125,1.43796,1.44353,-1.0,-1.0,-1
2025-03-12,1.44305,1.448495,1.435345,1.43713,-1.0,-1.0,-1
2025-03-13,1.43689,1.44517,1.43593,1.44395,-1.0,-1.0,-1
2025-03-14,1.444125,1.44469,1.43556,1.437255,-1.0,-1.0,-1
2025-03-17,1.438455,1.438455,1.42756,1.428775,-1.0,-1.0,-1
2025-03-18,1.428905,1.431985,1.426745,1.42981,-1.0,-1.0,-1
2025-03-19,1.43016,1.43492,1.42959,1.43264,-1.0,-1.0,-1
